become,bɪˈkʌm
himself,hɪmˈsɛlf
people,ˈpipəl
want,wɑnt
around,əˈɹaʊnd
might,maɪt
something,ˈsʌmθɪŋ
room,ɹum
take,teɪk
knew,nu
took,tʊk
such,sʌtʃ
told,toʊld
men,mɛn
door,dɔɹ
left,lɛft
being,ˈbiɪŋ
last,læst
because,bɪˈkʌz
look,lʊk
night,naɪt
those,ðoʊz
these,ðiz
house,haʊs
tell,tɛl
saw,sɔ
another,əˈnʌðɚ
while,waɪl
most,moʊst
turned,tɝnd
put,pʊt
felt,fɛlt
woman,ˈwʊmən
great,ɡɹeɪt
place,pleɪs
upon,əˈpɑn
Mr.,ˈmɪstɚ
years,jɪɹz
without,wɪˈðaʊt
found,faʊnd
always,ˈɔlweɪz
am,æm
nothing,ˈnʌθɪŋ
though,ðoʊ
against,əˈɡɛnst
same,seɪm
father,ˈfɑðɚ
home,hoʊm
many,ˈmɛni
work,wɝk
let,lɛt
seemed,siːmd
things,θɪŋz
few,fju
mother,ˈmʌðɚ
thing,θɪŋ
ever,ˈɛvɚ
may,meɪ
love,lʌv
every,ˈɛvɹi
voice,vɔɪs
three,θɹi
hands,hændz
once,wʌns
mind,maɪnd
enough,ɪˈnʌf
under,ˈʌndɚ
heard,hɝd
young,jʌŋ
moment,ˈmoʊmənt
new,nu
find,faɪnd
also,ˈɔlsoʊ
between,bɪˈtwin
side,saɪd
does,dʌz
each,itʃ
world,wɝld
wanted,ˈwɑntɪd
anything,ˈɛniˌθɪŋ
both,boʊθ
until,ʌnˈtɪl
really,ˈɹɪəli
called,kɔld
give,ɡɪv
herself,hɚˈsɛlf
better,ˈbɛtɚ
looking,ˈlʊkɪŋ
sure,ʃʊɹ
began,bɪˈɡæn
Yes,jɛs
behind,bɪˈhaɪnd
next,nɛkst
course,kɔɹs
yet,jɛt
far,fɑɹ
seen,sin
stood,stʊd
name,neɪm
small,smɔl
gave,ɡeɪv
done,dʌn
almost,ˈɔlmoʊst
need,nid
why,waɪ
Oh,oʊ
God,ɡɑd
light,laɪt
end,ɛnd
morning,ˈmɔɹnɪŋ
sat,sæt
heart,hɑɹt
days,deɪz
white,waɪt
water,ˈwɑtɚ
girl,ɡɝl
part,pɑɹt
help,hɛlp
half,hæf
words,wɝdz
feel,fil
since,sɪns
set,sɛt
open,ˈoʊpən
across,əˈkɹɔs
body,ˈbɑdi
together,təˈɡɛðɚ
gone,ɡɔn
keep,kip
along,əˈlɔŋ
Mrs.,ˈmɪsɪz
kind,kaɪnd
bed,bɛd
front,fɹʌnt
black,blæk
quite,kwaɪt
hair,hɛɹ
hard,hɑɹd
myself,maɪˈsɛlf
shall,ʃæl
already,ɔlˈɹɛdi
mean,min
used,just
soon,sun
family,ˈfæməli
feet,fit
wife,waɪf
toward,təˈwɔɹd
having,ˈhævɪŋ
whole,hoʊl
hear,hɪɹ
women,ˈwɪmɪn
else,ɛls
call,kɔl
table,ˈteɪbəl
dark,dɑɹk
best,bɛst
money,ˈmʌni
held,hɛld
talk,tɔk
believe,bəˈliv
boy,bɔɪ
says,sɛz
leave,liv
brought,bɹɔt
big,bɪɡ
children,ˈtʃɪldɹən
friend,fɹɛnd
later,ˈleɪtɚ
walked,wɑkt
least,list
air,ɛɹ
everything,ˈɛvɹiˌθɪŋ
taken,ˈteɪkən
word,wɝd
coming,ˈkʌmɪŋ
full,fʊl
matter,ˈmætɚ
tried,tɹaɪd
high,haɪ
child,tʃaɪld
doing,ˈduɪŋ
year,jɪɹ
dead,dɛd
death,dɛθ
past,pæst
fact,fækt
car,kɑɹ
arms,ɑɹmz
started,ˈstɑɹtɪd
alone,əˈloʊn
rather,ˈɹæðɚ
son,sʌn
close,kloʊs
story,ˈstɔɹi
four,fɔɹ
others,ˈʌðɚz
trying,ˈtɹaɪɪŋ
kept,kɛpt
read,ɹɛd
second,ˈsɛkənd
five,faɪv
times,taɪmz
case,keɪs
point,pɔɪnt
making,ˈmeɪkɪŋ
mouth,maʊθ
given,ˈɡɪvən
John,dʒɑn
ask,æsk
use,jus
Miss,mɪs
rest,ɹɛst
known,noʊn
de,di
understand,ˌʌndɚˈstænd
smile,smaɪl
fire,faɪɚ
inside,ˌɪnˈsaɪd
happened,ˈhæpənd
large,lɑɹdʒ
less,lɛs
lost,lɔst
opened,ˈoʊpənd
sound,saʊnd
someone,ˈsʌmwʌn
friends,fɹɛndz
arm,ɑɹm
stopped,stɑpt
able,ˈeɪbəl
moved,muvd
reached,ɹitʃt
smiled,smaɪld
window,ˈwɪndoʊ
round,ɹaʊnd
care,kɛɹ
near,nɪɹ
turn,tɝn
lot,lɑt
business,ˈbɪznəs
idea,aɪˈdiə
book,bʊk
floor,flɔɹ
perhaps,pɚˈhæps
remember,ɹɪˈmɛmbɚ
red,ɹɛd
getting,ˈɡɛtɪŋ
feeling,ˈfilɪŋ
real,ɹiəl
town,taʊn
bad,bæd
True,tɹu
either,ˈiðɚ
whom,hum
among,əˈmʌŋ
different,ˈdɪfɚənt
passed,pæst
suddenly,ˈsʌdənli
country,ˈkʌntɹi
pulled,pʊld
often,ˈɔfən
lay,leɪ
deep,dip
above,əˈbʌv
person,ˈpɝsən
hope,hoʊp
thinking,ˈθɪŋkɪŋ
question,ˈkwɛstʃən
sense,sɛns
short,ʃɔɹt
is,ɪz
at,æt
be,bi
him,hɪm
have,hæv
said,sɛd
from,frəm
but,bʌt
me,mi
my,maɪ
were,wɝ
they,ðeɪ
all,ɔl
by,baɪ
this,ðɪs
would,wʊd
do,du
out,aʊt
up,ʌp
one,wʌn
